frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
1370;13.700000;2;1.610554e+02;7.066965e+01;0;8.541053e-01;6.541553e-01;0;9.935159e-03;4.191151e-03;0;-1.143789e+01
1371;13.710000;3;1.370723e+02;2.764510e+02;9.367304e+01;8.925453e-01;8.922569e-01;8.734132e-01;4.338786e-03;4.327172e-03;3.683030e-03;-1.249228e+01
1372;13.720000;1;9.421369e+01;0;0;8.598816e-01;0;0;6.836391e-03;0;0;-1.265118e+01
1373;13.730000;1;5.135396e+01;0;0;7.662563e-01;0;0;9.038889e-03;0;0;-1.144144e+01
1374;13.740000;2;1.190105e+02;5.294072e+01;0;9.188493e-01;7.563491e-01;0;1.330013e-02;4.429759e-03;0;-1.170086e+01
1375;13.750000;2;1.206757e+02;1.058788e+02;0;9.064195e-01;0;0;4.833590e-03;2.775393e-04;0;-1.235788e+01
1376;13.760000;2;1.334413e+02;9.313880e+01;0;9.239378e-01;6.484800e-01;0;3.642932e-02;7.882606e-03;0;-9.088779e+00
1377;13.770000;3;1.236061e+02;8.133601e+01;5.592393e+01;9.178113e-01;8.135756e-01;6.289461e-01;1.488630e-02;6.562901e-03;3.297324e-03;-1.100366e+01
1378;13.780000;2;9.523182e+01;1.699595e+02;0;8.702862e-01;8.673490e-01;0;5.363926e-03;5.245157e-03;0;-1.262181e+01
1379;13.790000;2;1.908371e+02;9.225048e+01;0;8.366289e-01;8.148205e-01;0;4.447907e-03;3.924082e-03;0;-1.311417e+01
1380;13.800000;3;2.971054e+02;1.499493e+02;1.010065e+02;8.587785e-01;8.533262e-01;6.460640e-01;3.058546e-03;2.944851e-03;1.220369e-03;-1.304209e+01
1381;13.810000;2;1.096464e+02;9.452202e+01;0;9.188609e-01;6.914455e-01;0;5.724465e-03;1.505336e-03;0;-1.305206e+01
1382;13.820000;2;2.239996e+02;5.087083e+01;0;7.396936e-01;6.937774e-01;0;3.029673e-03;2.575392e-03;0;-1.320906e+01
1383;13.830000;3;1.513276e+02;1.084643e+02;6.412302e+01;9.201148e-01;5.922200e-01;2.068938e-01;8.011671e-03;1.569507e-03;8.069710e-04;-1.236144e+01
1384;13.840000;3;1.521639e+02;1.297723e+02;8.717913e+01;8.861842e-01;8.639350e-01;8.195379e-01;5.575032e-03;4.663410e-03;3.516124e-03;-1.243417e+01
1385;13.850000;2;1.142453e+02;8.888895e+01;0;8.726631e-01;7.523285e-01;0;7.910952e-03;4.067305e-03;0;-1.223667e+01
1386;13.860000;2;1.719703e+02;1.345174e+02;0;9.173974e-01;8.642278e-01;0;6.131324e-03;3.730242e-03;0;-1.218124e+01
1387;13.870000;3;1.925946e+02;1.036514e+02;9.749121e+01;8.530837e-01;8.522901e-01;8.392877e-01;8.919021e-03;8.871105e-03;8.153388e-03;-1.110876e+01
1388;13.880000;1;1.057782e+02;0;0;8.003487e-01;0;0;4.924622e-03;0;0;-1.266472e+01
1389;13.890000;0;0;0;0;0;0;0;0;0;0;-1.206649e+01
1390;13.900000;2;1.485896e+02;1.094190e+02;0;9.252450e-01;0;0;5.690680e-03;5.426882e-05;0;-1.250790e+01
1391;13.910000;1;1.023187e+02;0;0;9.157545e-01;0;0;7.098145e-03;0;0;-1.241477e+01
1392;13.920000;1;5.273413e+01;0;0;7.362164e-01;0;0;2.807510e-03;0;0;-1.336669e+01
1393;13.930000;2;1.313259e+02;5.702886e+01;0;9.220805e-01;5.291843e-01;0;6.824148e-03;1.129389e-03;0;-1.277930e+01
1394;13.940000;2;8.373771e+01;5.756705e+01;0;7.565399e-01;7.300706e-01;0;2.791630e-03;2.517883e-03;0;-1.335492e+01
